player_id,display_name
alf,Alf
bob,Bob
mike,Mike
mario,Mario
beat,Beat
lionel,Lionel
stefan,Stefan
daniel_a,Daniel A
matthias,Matthias
beni,Beni
benjamin,Benjamin
juan,Juan
reto,Reto
sinas,Sinas
simon,Simon
dmitrijs,Dmitrijs
justas,Justas
martha,Martha
daniel_r,Daniel R
