timestamp,player_1_id,player_2_id,score_1,score_2,discipline,context
2023-05-06 17:17:00,benjamin,mike,2,0,STRAIGHT_POOL,Liga
2023-05-06 17:35:00,lionel,beat,2,0,STRAIGHT_POOL,Liga
2023-05-08 18:26:00,juan,alf,75,28,STRAIGHT_POOL,Liga
2023-05-10 22:17:00,beni,karol,75,50,STRAIGHT_POOL,Liga
2023-05-13 14:18:00,alf,mario,28,75,STRAIGHT_POOL,Liga
2023-05-13 17:43:00,beni,alf,75,39,STRAIGHT_POOL,Liga
2023-05-13 18:10:00,juan,karol,75,62,STRAIGHT_POOL,Liga
2023-05-14 12:12:00,benjamin,daniel_a,2,0,STRAIGHT_POOL,Liga
2023-05-15 21:18:00,karol,alf,75,45,STRAIGHT_POOL,Liga
2023-05-17 16:38:00,lionel,mike,2,0,STRAIGHT_POOL,Liga
2023-05-17 19:19:00,lionel,daniel_a,2,0,STRAIGHT_POOL,Liga
2023-05-20 15:23:00,juan,beni,75,51,STRAIGHT_POOL,Liga
2023-05-20 17:44:00,mike,beat,2,0,STRAIGHT_POOL,Liga
2023-05-22 20:23:00,karol,mario,38,75,STRAIGHT_POOL,Liga
2023-05-22 22:48:00,benjamin,beat,2,0,STRAIGHT_POOL,Liga
2023-05-24 15:47:00,beni,mario,36,75,STRAIGHT_POOL,Liga
2023-05-24 21:52:00,lionel,benjamin,2,0,STRAIGHT_POOL,Liga
2023-05-24 21:56:00,karol,stefan,58,75,STRAIGHT_POOL,Liga
2023-05-25 21:30:00,alf,stefan,37,75,STRAIGHT_POOL,Liga
2023-05-29 20:35:00,mario,stefan,75,68,STRAIGHT_POOL,Liga
2023-05-29 21:57:00,beni,stefan,32,75,STRAIGHT_POOL,Liga
2023-05-31 16:42:00,daniel_a,mike,0,2,STRAIGHT_POOL,Liga
2023-05-31 22:34:00,juan,stefan,75,40,STRAIGHT_POOL,Liga
2023-06-03 15:19:00,mike,beat,4,5,EIGHT_BALL,Liga
2023-06-07 16:10:00,daniel_a,mike,1,5,EIGHT_BALL,Liga
2023-06-10 16:31:00,bob,mike,5,2,EIGHT_BALL,Liga
2023-06-12 22:58:00,karol,lionel,7,3,EIGHT_BALL,Liga
2023-06-19 21:20:00,bob,beat,4,5,EIGHT_BALL,Liga
2023-06-21 21:28:00,beni,lionel,7,0,EIGHT_BALL,Liga
2023-06-22 23:54:00,karol,beni,7,4,EIGHT_BALL,Liga
2023-06-24 19:09:00,daniel_a,beat,1,5,EIGHT_BALL,Liga
2023-06-28 21:42:00,bob,daniel_a,5,4,EIGHT_BALL,Liga
2023-06-29 18:28:00,beni,mario,3,7,EIGHT_BALL,Liga
2023-06-30 15:46:00,karol,mario,3,7,EIGHT_BALL,Liga
2023-07-08 15:32:00,mike,beat,3,5,NINE_BALL,Liga
2023-07-10 20:31:00,bob,beat,5,3,NINE_BALL,Liga
2023-07-11 19:08:00,karol,mario,5,7,NINE_BALL,Liga
2023-07-15 14:55:00,bob,mike,5,3,NINE_BALL,Liga
2023-07-17 20:44:00,lionel,beat,5,2,NINE_BALL,Liga
2023-07-24 15:56:00,lionel,mike,5,3,NINE_BALL,Liga
2023-07-24 21:03:00,bob,lionel,5,2,NINE_BALL,Liga
2023-07-26 19:34:00,mario,beni,3,9,NINE_BALL,Liga
2023-07-29 15:57:00,juan,karol,9,6,NINE_BALL,Liga
2023-07-30 23:06:00,beni,karol,9,5,NINE_BALL,Liga
2023-08-05 15:25:00,beat,mike,5,4,TEN_BALL,Liga
2023-08-10 16:05:00,alf,mike,5,4,TEN_BALL,Liga
2023-08-12 14:14:00,alf,beat,5,2,TEN_BALL,Liga
2023-08-17 16:43:00,daniel_a,mike,4,5,TEN_BALL,Liga
2023-08-19 14:29:00,beni,mario,2,7,TEN_BALL,Liga
2023-08-21 22:25:00,daniel_a,beat,2,5,TEN_BALL,Liga
2023-08-21 23:05:00,alf,reto,5,1,TEN_BALL,Liga
2023-08-26 16:00:00,mike,reto,1,5,TEN_BALL,Liga
2023-08-28 20:44:00,lionel,bob,7,6,TEN_BALL,Liga
2023-08-28 22:57:00,alf,daniel_a,5,2,TEN_BALL,Liga
2023-08-29 00:36:00,daniel_a,reto,0,5,TEN_BALL,Liga
2023-08-29 19:40:00,beni,bob,7,2,TEN_BALL,Liga
2023-08-29 21:47:00,beni,lionel,7,4,TEN_BALL,Liga
2023-08-31 15:36:00,lionel,mario,1,7,TEN_BALL,Liga
2023-08-31 18:23:00,bob,mario,6,7,TEN_BALL,Liga
2023-09-02 15:27:00,beat,mike,2,1,STRAIGHT_POOL,Liga
2023-09-04 17:33:00,alf,lionel,1,0,STRAIGHT_POOL,Liga
2023-09-04 21:35:00,karol,beat,2,1,STRAIGHT_POOL,Liga
2023-09-13 22:27:00,lionel,stefan,33,75,STRAIGHT_POOL,Liga
2023-09-14 17:51:00,daniel_a,mike,1,2,STRAIGHT_POOL,Liga
2023-09-16 16:18:00,bob,mike,2,0,STRAIGHT_POOL,Liga
2023-09-16 23:05:00,karol,bob,2,0,STRAIGHT_POOL,Liga
2023-09-18 20:10:00,beat,bob,0,2,STRAIGHT_POOL,Liga
2023-09-20 19:29:00,alf,beni,0,1,STRAIGHT_POOL,Liga
2023-09-20 20:58:00,lionel,beni,39,75,STRAIGHT_POOL,Liga
2023-09-21 21:21:00,alf,stefan,55,75,STRAIGHT_POOL,Liga
2023-09-25 22:46:00,daniel_a,beat,2,1,STRAIGHT_POOL,Liga
2023-09-27 21:37:00,beni,stefan,75,31,STRAIGHT_POOL,Liga
2023-09-28 15:14:00,alf,mario,21,75,STRAIGHT_POOL,Liga
2023-09-29 19:33:00,lionel,mario,27,75,STRAIGHT_POOL,Liga
2023-10-05 17:15:00,daniel_a,mike,4,5,EIGHT_BALL,Liga
2023-10-05 21:14:00,bob,mario,2,7,EIGHT_BALL,Liga
2023-10-06 19:08:00,alf,beni,7,5,EIGHT_BALL,Liga
2023-10-07 15:41:00,beat,mike,3,5,EIGHT_BALL,Liga
